Object,Actor(s),Type,Count,HWInstances,Inst Sections,Tris,Sum Tris,Size,VC,Inst VC,Avg LM,Avg OL,Sum Avg,Cost,LM,Res,Min R,Max R,Avg R,
Mannequin_Masculino_P?_Direita,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,2668,2668,353.607,0,0,0,0,0,0,0,64,15.919,15.919,15.919,
Mannequin_Feminino_P?_Direito,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,2665,2665,352.283,0,0,0,0,0,0,0,64,13.589,13.589,13.589,
dark-wood-dresser-with-fully-modelled-drawers_drawer_container_005,(Drawer_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Drawer_BP_2"'),StaticMesh,1,1,2,2790,2790,349.408,0,0,0,2,0,0,0,64,44.14,44.14,44.14,
Mannequin_Feminino_P?_Esquerdo,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,2665,2665,349.221,0,0,0,0,0,0,0,64,13.588,13.588,13.588,
dark-wood-dresser-with-fully-modelled-drawers_drawer_container_004,(Drawer_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Drawer_BP_2"'),StaticMesh,1,1,2,2790,2790,348.943,0,0,0,2,0,0,0,64,44.14,44.14,44.14,
dark-wood-dresser-with-fully-modelled-drawers_drawer_container_002,(Drawer_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Drawer_BP_2"'),StaticMesh,1,1,2,2790,2790,348.611,0,0,0,2,0,0,0,64,44.14,44.14,44.14,
dark-wood-dresser-with-fully-modelled-drawers_drawer_container_006,(Drawer_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Drawer_BP_2"'),StaticMesh,1,1,2,2790,2790,348.25,0,0,0,2,0,0,0,64,44.14,44.14,44.14,
dark-wood-dresser-with-fully-modelled-drawers_drawer_container_001,(Drawer_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Drawer_BP_2"'),StaticMesh,1,1,2,2790,2790,346.775,0,0,0,2,0,0,0,64,44.14,44.14,44.14,
Mannequin_Masculino_M?o_Direita_001,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,2532,2532,342.891,0,0,0,0,0,0,0,64,14.43,14.43,14.43,
Mannequin_Masculino_M?o_Esquerda_001,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,2532,2532,341.521,0,0,0,0,0,0,0,64,14.403,14.403,14.403,
Mannequin_Feminino_M?o_Direita,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,2495,2495,339.532,0,0,0,0,0,0,0,64,11.407,11.407,11.407,
Mannequin_Feminino_M?o_Esquerda,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,2496,2496,339.019,0,0,0,0,0,0,0,64,11.364,11.364,11.364,
Mannequin_Feminino_Torso,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,2430,2430,333.326,0,0,0,0,0,0,0,64,24.026,24.026,24.026,
Mannequin_Masculino_Torso_001,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,2182,2182,304.814,0,0,0,0,0,0,0,64,28.22,28.22,28.22,
SM_SkySphere,(BP_Sky_Sphere_C'"/Game/Levels/Game.Game:PersistentLevel.SkySphereBlueprint"'),StaticMesh,1,1,1,3968,3968,253.927,0,0,0,0,0,0,2.659,32,1638400.25,1638400.25,1638400.25,
BluestonewallGate_frame5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,1788,1788,251.402,0,0,0,0,0,0,0,64,12.37,12.37,12.37,
BluestonewallGate_frame5_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,1788,1788,245.83,0,0,0,0,0,0,0,64,12.37,12.37,12.37,
Mannequin_Masculino_Perna_Direita_001,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,1612,1612,217.568,0,0,0,0,0,0,0,64,40.066,40.066,40.066,
Mannequin_Masculino_Perna_Esquerda,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,1612,1612,216.186,0,0,0,0,0,0,0,64,39.974,39.974,39.974,
Mannequin_Feminino_Perna_Direita,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,1560,1560,213.566,0,0,0,0,0,0,0,64,35.284,35.284,35.284,
Mannequin_Masculino_Cintura,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,1468,1468,212.18,0,0,0,0,0,0,0,64,22.783,22.783,22.783,
Mannequin_Feminino_Perna_Esquerda_001,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,1560,1560,212.07,0,0,0,0,0,0,0,64,35.486,35.486,35.486,
Mannequin_Feminino_Cintura_001,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,1464,1464,209.965,0,0,0,0,0,0,0,64,22.033,22.033,22.033,
Mannequin_Feminino_Bra?o_+_Antebra?o,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,818,818,128.221,0,0,0,0,0,0,0,64,23.927,23.927,23.927,
Mannequin_Feminino_Bra?o_+_Antebra?o_esquerdo,(Mannequin_feminino_C'"/Game/Levels/Game.Game:PersistentLevel.Mannequin_feminino_2"'),StaticMesh,1,1,1,806,806,125.611,0,0,0,0,0,0,0,64,23.96,23.96,23.96,
Mannequin_Masculino_Bra?o_Direito,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,734,734,116.318,0,0,0,0,0,0,0,64,22.598,22.598,22.598,
Mannequin_Masculino_Bra?o_Esquerdo,(mannquin_masculino_C'"/Game/Levels/Game.Game:PersistentLevel.mannquin_masculino_2"'),StaticMesh,1,1,1,734,734,115.881,0,0,0,0,0,0,0,64,22.697,22.697,22.697,
dark-wood-dresser-with-fully-modelled-drawers_SONGESAND_dresser,(Drawer_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Drawer_BP_2"'),StaticMesh,1,1,1,760,760,113.764,0,0,0,2,0,0,10.64,64,94.845,94.845,94.845,
Cylinder,(Battery_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Battery_BP2_5"' Battery_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Battery_BP3_8"' Battery_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Battery_BP4_11"' Battery_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Battery_BP5_14"' Battery_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Battery_BP_2"'),StaticMesh,5,5,5,512,2560,98.539,0,0,0,7,0,0,0,160,36.324,36.324,181.618,
earth_tunnel,(StaticMeshActor'"/Game/Levels/Game.Game:PersistentLevel.earth_tunnel"'),StaticMesh,1,1,1,144,144,42.6,0,0,0,0,0,0,10.64,64,253.125,253.125,253.125,
BluestonewallGate_Cylinder_6_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.932,0,0,0,0,0,0,0,64,66.615,66.615,66.615,
BluestonewallGate_Cylinder_5_8,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.814,0,0,0,0,0,0,0,64,57.549,57.549,57.549,
BluestonewallGate_Cylinder_1_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.785,0,0,0,0,0,0,0,64,118.531,118.531,118.531,
BluestonewallGate_Cylinder_3_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.738,0,0,0,0,0,0,0,64,132.029,132.029,132.029,
BluestonewallGate_Cylinder_3_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.738,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.738,0,0,0,0,0,0,0,64,66.615,66.615,66.615,
BluestonewallGate_Cylinder_1_10,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.738,0,0,0,0,0,0,0,64,118.531,118.531,118.531,
BluestonewallGate_Cylinder_3_9,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.738,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_5_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.738,0,0,0,0,0,0,0,64,57.549,57.549,57.549,
BluestonewallGate_Cylinder_4_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.738,0,0,0,0,0,0,0,64,133.529,133.529,133.529,
BluestonewallGate_Cylinder_2_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.656,0,0,0,0,0,0,0,64,125.03,125.03,125.03,
BluestonewallGate_Cylinder_3_10,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.387,0,0,0,0,0,0,0,64,132.029,132.029,132.029,
BluestonewallGate_column,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,108,108,34.355,0,0,0,0,0,0,0,64,140.358,140.358,140.358,
BluestonewallGate_Shaft,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.305,0,0,0,0,0,0,0,64,115.289,115.289,115.289,
BluestonewallGate_column_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,108,108,34.285,0,0,0,0,0,0,0,64,140.358,140.358,140.358,
BluestonewallGate_Cylinder_2_10,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,125.03,125.03,125.03,
BluestonewallGate_Cylinder,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,116.031,116.031,116.031,
BluestonewallGate_Cylinder_1_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_2_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_1_9,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_2_9,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_0_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_0_8,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,115.031,115.031,115.031,
BluestonewallGate_Cylinder_2_11,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,116.031,116.031,116.031,
BluestonewallGate_Cylinder_4_8,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,133.529,133.529,133.529,
BluestonewallGate_Shaft_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,144,144,34.27,0,0,0,0,0,0,0,64,115.289,115.289,115.289,
BluestonewallGate_tile,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,108,108,33.686,0,0,0,0,0,0,0,64,51.06,51.06,51.06,
BluestonewallGate_tile_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,108,108,33.242,0,0,0,0,0,0,0,64,51.06,51.06,51.06,
BluestonewallGate_curve_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,116,116,30.074,0,0,0,0,0,0,0,64,15.912,15.912,15.912,
BluestonewallGate_curve_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,116,116,29.98,0,0,0,0,0,0,0,64,15.912,15.912,15.912,
BluestonewallGate_curve_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,116,116,29.91,0,0,0,0,0,0,0,64,15.912,15.912,15.912,
BluestonewallGate_curve,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,116,116,29.91,0,0,0,0,0,0,0,64,15.912,15.912,15.912,
BluestonewallGate_curve_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,116,116,29.855,0,0,0,0,0,0,0,64,15.912,15.912,15.912,
BluestonewallGate_curve_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,116,116,29.762,0,0,0,0,0,0,0,64,15.912,15.912,15.912,
BluestonewallGate_Cylinder_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.99,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_2_8,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.873,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_3_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.281,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_3_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_0_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_3_8,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_2_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_2_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_0_7,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_0_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_3_7,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_4_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_1_8,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_3_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_4_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_1_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_5_7,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_5_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_5_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_5_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_1_7,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_1_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_5_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.129,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_2_7,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.074,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_0_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.074,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_4_7,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.074,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_1_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.012,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.012,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.012,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_1,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.012,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_4_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,22.004,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_2_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,21.957,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_0,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,21.895,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_4_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,21.832,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
BluestonewallGate_Cylinder_0_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,48,48,21.77,0,0,0,0,0,0,0,64,1.905,1.905,1.905,
Cube,(StaticMeshActor'"/Game/Levels/Game.Game:PersistentLevel.Cube_2"' Collectible_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Collectible_BP2_5"' Collectible_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Collectible_BP3"' Collectible_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Collectible_BP_2"' Collectible_BP_Child_C'"/Game/Levels/Game.Game:PersistentLevel.Collectible_BP_Child_2"'),StaticMesh,5,5,5,48,240,15.221,0,0,0,4,0,0,10.64,320,86.603,86.603,433.013,
BluestonewallGate_frame1_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.871,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame5_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,135.113,135.113,135.113,
BluestonewallGate_frame5_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,135.113,135.113,135.113,
BluestonewallGate_frame4_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
